,,,,,,,,,,,,,,
,P09,"Qihang Ge, Wei Sun, Yu Zhang, Yunhao Li, Zhongpeng Ji, Fengyu Sun, Shangling Jui, Xiongkuo Min, Member, IEEE, Guangtao Zhai, Senior Member, IEEE",LMM-VQA: Advancing Video Quality Assessment with Large Multimodal Models,2024,"The primary goal was to address the limitations of traditional VQA algorithms, which often struggle to model the complex relationship between diverse video content and various spatial-temporal distortions",,"Video-ChatGPT, LLaMA-VID, VideoLLaMA2, LLaVA-NeXT-Video, VILA-1.5",Model,"The framework successfully generated both a numerical quality score and a descriptive quality level (good, fair, poor)",,,,"@article{ge2025lmm,
  title={Lmm-vqa: Advancing video quality assessment with large multimodal models},
  author={Ge, Qihang and Sun, Wei and Zhang, Yu and Li, Yunhao and Ji, Zhongpeng and Sun, Fengyu and Jui, Shangling and Min, Xiongkuo and Zhai, Guangtao},
  journal={IEEE Transactions on Circuits and Systems for Video Technology},
  year={2025},
  publisher={IEEE}
}","Ge, Q., Sun, W., Zhang, Y., Li, Y., Ji, Z., Sun, F., ... & Zhai, G. (2025). Lmm-vqa: Advancing video quality assessment with large multimodal models. IEEE Transactions on Circuits and Systems for Video Technology."
,P10,"Sadeque, F., & Bethard, S.",Predicting engagement in online social networks: Challenges and opportunities,2019,survey on predicting engagement in social networks,,,,,,,,"@article{sadeque2019predicting,
  title={Predicting engagement in online social networks: Challenges and opportunities},
  author={Sadeque, Farig and Bethard, Steven},
  journal={arXiv preprint arXiv:1907.05442},
  year={2019}
}","Sadeque, F., & Bethard, S. (2019). Predicting engagement in online social networks: Challenges and opportunities. arXiv preprint arXiv:1907.05442."
,P11,"Pang, N., Guo, S., Yan, M., & Chan, C. A.",A Short Video Classification Framework Based on Cross-Modal Fusion,2023,"Short form videos uploaded by users are very random, and user’s understanding of video categories also vary. Classification of short videos are important so that unlabeled videos can be organized in the same way as those with labeled categories.",,"NextVLAD, AttentionCluster, NextVLAD-AttentionCluster",,"visual information has greatest impact on video classification

accuracy of the model can be improved by modality fusion",,,for future work: increase type and number of videos for improved classification performance,"@article{pang2023short,
  title={A short video classification framework based on cross-modal fusion},
  author={Pang, Nuo and Guo, Songlin and Yan, Ming and Chan, Chien Aun},
  journal={Sensors},
  volume={23},
  number={20},
  pages={8425},
  year={2023},
  publisher={MDPI}
}","Pang, N., Guo, S., Yan, M., & Chan, C. A. (2023). A short video classification framework based on cross-modal fusion. Sensors, 23(20), 8425."
,P12,"Guan, F., Yu, Z., Lu, Y., Luo, W., Gao, Y., Li, X., & Chen, Z.",MMF-QE: Advanced Multi-Modal Fusion for Quality Assessment and Engagement Prediction in User-Generated Short Videos,2025,,,,Model,,,,,"@inproceedings{guan2025mmf,
  title={MMF-QE: Advanced Multi-Modal Fusion for Quality Assessment and Engagement Prediction in User-Generated Short Videos},
  author={Guan, Fengbin and Yu, Zihao and Lu, Yiting and Luo, Wei and Gao, Yixin and Li, Xin and Chen, Zhibo},
  booktitle={Proceedings of the IEEE/CVF International Conference on Computer Vision},
  pages={3458--3465},
  year={2025}
}","Guan, F., Yu, Z., Lu, Y., Luo, W., Gao, Y., Li, X., & Chen, Z. (2025). MMF-QE: Advanced Multi-Modal Fusion for Quality Assessment and Engagement Prediction in User-Generated Short Videos. In Proceedings of the IEEE/CVF International Conference on Computer Vision (pp. 3458-3465)."
,P13,,Beyond Views: Measuring and Predicting Engagement in Online Videos,2018,,,,,,,,,"@inproceedings{wu2018beyond,
  title={Beyond views: Measuring and predicting engagement in online videos},
  author={Wu, Siqi and Rizoiu, Marian-Andrei and Xie, Lexing},
  booktitle={Proceedings of the international AAAI conference on web and social media},
  volume={12},
  number={1},
  year={2018}
}","Wu, S., Rizoiu, M. A., & Xie, L. (2018, June). Beyond views: Measuring and predicting engagement in online videos. In Proceedings of the international AAAI conference on web and social media (Vol. 12, No. 1)."
,P14,,https://www.emerald.com/intr/article-abstract/36/1/154/1255369/Exploring-user-engagement-behavior-with-short-form?redirectedFrom=fulltext,,,,,,,,,,,
,P15,,Analyzing user engagement with TikTok's short format video recommendations using data donations,,,,,,,,,,"@inproceedings{zannettou2024analyzing,
  title={Analyzing user engagement with TikTok's short format video recommendations using data donations},
  author={Zannettou, Savvas and Nemes-Nemeth, Olivia and Ayalon, Oshrat and Goetzen, Angelica and Gummadi, Krishna P and Redmiles, Elissa M and Roesner, Franziska},
  booktitle={Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems},
  pages={1--16},
  year={2024}
}","Zannettou, S., Nemes-Nemeth, O., Ayalon, O., Goetzen, A., Gummadi, K. P., Redmiles, E. M., & Roesner, F. (2024, May). Analyzing user engagement with TikTok's short format video recommendations using data donations. In Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems (pp. 1-16)."
,P16,"Boeker, M., & Urman, A.",An empirical investigation of personalization factors on TikTok,2022,,,,,,,,,"@inproceedings{boeker2022empirical,
  title={An empirical investigation of personalization factors on TikTok},
  author={Boeker, Maximilian and Urman, Aleksandra},
  booktitle={Proceedings of the ACM web conference 2022},
  pages={2298--2309},
  year={2022}
}","Boeker, M., & Urman, A. (2022, April). An empirical investigation of personalization factors on TikTok. In Proceedings of the ACM web conference 2022 (pp. 2298-2309)."
,P17,"Bravin, M., Clegg, M., Hofstetter, R., Pouly, M., & Berger, J. A.",How to Follow Social Media Trends? An Empirical Investigation Using TikTok Short Video Data,2025,,,,,,,,,"@article{bravin2025follow,
  title={How to follow social media trends? An empirical investigation using TikTok short video data},
  author={Bravin, Marc and Clegg, Melanie and Hofstetter, Reto and Pouly, Marc and Berger, Jonah A},
  journal={An Empirical Investigation Using TikTok Short Video Data (January 01, 2025)},
  year={2025}
}","Bravin, M., Clegg, M., Hofstetter, R., Pouly, M., & Berger, J. A. (2025). How to follow social media trends? An empirical investigation using TikTok short video data. An Empirical Investigation Using TikTok Short Video Data (January 01, 2025)."
,P18,"Kanuri, V. K., Chen, Y., & Sridhar, S.","Scheduling content on social media: Theory, evidence, and application.",2018,,,,,,,,,"@article{kanuri2018scheduling,
  title={Scheduling content on social media: Theory, evidence, and application},
  author={Kanuri, Vamsi K and Chen, Yixing and Sridhar, Shrihari},
  journal={Journal of Marketing},
  volume={82},
  number={6},
  pages={89--108},
  year={2018},
  publisher={Sage Publications Sage CA: Los Angeles, CA}
}","Kanuri, V. K., Chen, Y., & Sridhar, S. (2018). Scheduling content on social media: Theory, evidence, and application. Journal of Marketing, 82(6), 89-108."
,P19,"Manic, M.",Short-form video content and consumer engagement in digital landscapes. ,2024,,,,,,,,,"@article{manic2024short,
  title={Short-form video content and consumer engagement in digital landscapes},
  author={Manic, Marius},
  journal={Bulletin of the Transilvania University of Brasov. Series V: Economic Sciences},
  pages={45--52},
  year={2024}
}","Manic, M. (2024). Short-form video content and consumer engagement in digital landscapes. Bulletin of the Transilvania University of Brasov. Series V: Economic Sciences, 45-52."
,P20,"Peng, Y., & Lu, L.",Untangling influence: The effect of follower-followee comparison on social media engagement.,2024,,,,Features,,,,,"@article{peng2024untangling,
  title={Untangling influence: The effect of follower-followee comparison on social media engagement},
  author={Peng, Yi and Lu, Liling},
  journal={Journal of Retailing and Consumer Services},
  volume={78},
  pages={103747},
  year={2024},
  publisher={Elsevier}
}","Peng, Y., & Lu, L. (2024). Untangling influence: The effect of follower-followee comparison on social media engagement. Journal of Retailing and Consumer Services, 78, 103747."
,P21,"Wies, S., Bleier, A., & Edeling, A.",Finding goldilocks influencers: How follower count drives social media engagement.,2023,,,,Features,,,,,"@article{wies2023finding,
  title={Finding goldilocks influencers: How follower count drives social media engagement},
  author={Wies, Simone and Bleier, Alexander and Edeling, Alexander},
  journal={Journal of Marketing},
  volume={87},
  number={3},
  pages={383--405},
  year={2023},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}","Wies, S., Bleier, A., & Edeling, A. (2023). Finding goldilocks influencers: How follower count drives social media engagement. Journal of Marketing, 87(3), 383-405."
,P22,"Zannettou, S., Nemes-Nemeth, O., Ayalon, O., Goetzen, A., Gummadi, K. P., Redmiles, E. M., & Roesner, F. ",Analyzing user engagement with TikTok's short format video recommendations using data donations.,2024,,,,Psychology,,,,,"@inproceedings{zannettou2024analyzing,
  title={Analyzing user engagement with TikTok's short format video recommendations using data donations},
  author={Zannettou, Savvas and Nemes-Nemeth, Olivia and Ayalon, Oshrat and Goetzen, Angelica and Gummadi, Krishna P and Redmiles, Elissa M and Roesner, Franziska},
  booktitle={Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems},
  pages={1--16},
  year={2024}
}","Zannettou, S., Nemes-Nemeth, O., Ayalon, O., Goetzen, A., Gummadi, K. P., Redmiles, E. M., & Roesner, F. (2024, May). Analyzing user engagement with TikTok's short format video recommendations using data donations. In Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems (pp. 1-16)."
,P23,"Rahman, S., Mun, H., Lee, H., Lee, Y., Tornatore, M., & Mukherjee, B.",Insights from Analysis of Video Streaming Data to Improve Resource Management,2018,,,,Engagement Metrics,,,,,"@INPROCEEDINGS{8549180,
  author={Rahman, Sabidur and Mun, Hyunsu and Lee, Hyongjin and Lee, Youngseok and Tornatore, Massimo and Mukherjee, Biswanath},
  booktitle={2018 IEEE 7th International Conference on Cloud Networking (CloudNet)}, 
  title={Insights from Analysis of Video Streaming Data to Improve Resource Management}, 
  year={2018},
  volume={},
  number={},
  pages={1-3},
  keywords={Streaming media;Resource management;Tools;IP networks;Big Data;Smart phones;User behavior;video streaming;cloud network management;data analysis;Apache Spark},
  doi={10.1109/CloudNet.2018.8549180}}
","Rahman, S., Mun, H., Lee, H., Lee, Y., Tornatore, M., & Mukherjee, B. (2018, October). Insights from analysis of video streaming data to improve resource management. In 2018 IEEE 7th International Conference on Cloud Networking (CloudNet) (pp. 1-3). Ieee."
,P24,"Xiao, L., Sun, L., Lei, Z., & Fu, B. ",How do features in health short-form videos impact viewer engagement: An empirical study. Industrial Management & Data Systems,,,,,Features,,,,,"@article{xiao2026features,
  title={How do features in health short-form videos impact viewer engagement: An empirical study},
  author={Xiao, Lin and Sun, Lingfeng and Lei, Zhiming and Fu, Bin},
  journal={Industrial Management \& Data Systems},
  volume={126},
  number={2},
  pages={678--709},
  year={2026},
  publisher={Emerald Publishing Limited}
}","Xiao, L., Sun, L., Lei, Z., & Fu, B. (2026). How do features in health short-form videos impact viewer engagement: An empirical study. Industrial Management & Data Systems, 126(2), 678-709."
,P25,"Zhang, C., Zheng, H., & Wang, Q. ",Driving factors and moderating effects behind citizen engagement with mobile short-form videos.,,,,,Features,,,,,"@article{zhang2022driving,
  title={Driving factors and moderating effects behind citizen engagement with mobile short-form videos},
  author={Zhang, Cevin and Zheng, Hemingxi and Wang, Qing},
  journal={IEEE Access},
  volume={10},
  pages={40999--41009},
  year={2022},
  publisher={IEEE}
}","Zhang, C., Zheng, H., & Wang, Q. (2022). Driving factors and moderating effects behind citizen engagement with mobile short-form videos. IEEE Access, 10, 40999-41009."
,P26,"Zhang, X., Zhao, Z., & Wang, K.",The effects of live comments and advertisements on social media engagement: application to short-form online video. ,,,,,Features,,,,,"@article{zhang2024effects,
  title={The effects of live comments and advertisements on social media engagement: application to short-form online video},
  author={Zhang, Xiaodan and Zhao, Zhanbo and Wang, Kui},
  journal={Journal of Research in Interactive Marketing},
  volume={18},
  number={3},
  pages={485--505},
  year={2024},
  publisher={Emerald Publishing Limited}
}","Zhang, X., Zhao, Z., & Wang, K. (2024). The effects of live comments and advertisements on social media engagement: application to short-form online video. Journal of Research in Interactive Marketing, 18(3), 485-505."
,P27,"Spasojevic, N., Li, Z., Rao, A., & Bhattacharyya, P.",When-to-post on social networks,2015,,,,Features,,,,,"@inproceedings{spasojevic2015post,
  title={When-to-post on social networks},
  author={Spasojevic, Nemanja and Li, Zhisheng and Rao, Adithya and Bhattacharyya, Prantik},
  booktitle={Proceedings of the 21th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining},
  pages={2127--2136},
  year={2015}
}","Spasojevic, N., Li, Z., Rao, A., & Bhattacharyya, P. (2015, August). When-to-post on social networks. In Proceedings of the 21th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (pp. 2127-2136)."
,P28,"Lee, B.", A temporal analysis of posting behavior in social media streams,2012,,,,,,,,,"@inproceedings{lee2012temporal,
  title={A temporal analysis of posting behavior in social media streams},
  author={Lee, Bumsuk},
  booktitle={Proceedings of the International AAAI Conference on Web and Social Media},
  volume={6},
  number={4},
  pages={18--21},
  year={2012}
}","Lee, B. (2012). A temporal analysis of posting behavior in social media streams. In Proceedings of the International AAAI Conference on Web and Social Media (Vol. 6, No. 4, pp. 18-21)."
